,unique,IsZoonotic,vFamily,vSubfamily,vGenus,virus_name_dc,Humany_to_Human,Hhsource,Hhnotes
1797,1797,1,Paramyxoviridae,Paramyxovirinae,Rubulavirus,parainfluenza virus,NA,,
1802,1802,1,Bunyaviridae,NA,Orthobunyavirus,patois virus,NA,,
1836,1836,1,Arenaviridae,NA,Arenavirus,pichinde virus,NA,,
1844,1844,1,Togaviridae,NA,Alphavirus,pixuna virus,NA,,
1871,1871,1,Flaviviridae,NA,Flavivirus,powassan virus,no,,
1882,1882,1,Retroviridae,Orthoretrovirinae,Deltaretrovirus,primate t lymphotropic virus,NA,,
1907,1907,1,Poxviridae,Chordopoxvirinae,Parapoxvirus,pseudocowpox virus,NA,,
1911,1911,1,Bunyaviridae,NA,Phlebovirus,punta toro virus,NA,,
1913,1913,1,Bunyaviridae,NA,Hantavirus,puumala virus,yes,,
1933,1933,1,Rhabdoviridae,NA,Lyssavirus,rabies virus,no,,
2778,2778,1,Filoviridae,NA,Ebolavirus,reston ebolavirus,NA,,
2786,2786,1,Bunyaviridae,NA,Phlebovirus,rift valley fever virus,no,,
2820,2820,1,Flaviviridae,NA,Flavivirus,rio bravo virus,NA,,
2840,2840,1,Bunyaviridae,NA,Hantavirus,rio mamore virus,NA,,
2847,2847,1,Togaviridae,NA,Alphavirus,ross river virus,yes,,
2853,2853,1,Reoviridae,Sedoreovirinae,Rotavirus,rotavirus a,yes,,
2860,2860,1,Reoviridae,Sedoreovirinae,Rotavirus,rotavirus b,yes,,
2864,2864,1,Reoviridae,Sedoreovirinae,Rotavirus,rotavirus c,no,,
2885,2885,1,Bunyaviridae,NA,Phlebovirus,sandfly fever naples virus,NA,,
2887,2887,1,Bunyaviridae,NA,Phlebovirus,sandfly fever sicilian virus,no,,
2893,2893,1,Poxviridae,Chordopoxvirinae,Parapoxvirus,sealpox virus,no,Roess et al 2011 EID,UNLIKELY
2895,2895,1,Togaviridae,NA,Alphavirus,semliki forest virus,no,,
2912,2912,1,Bunyaviridae,NA,Hantavirus,seoul virus,no,,
2922,2922,1,Coronaviridae,Coronavirinae,Betacoronavirus,severe acute respiratory syndrome related coronavirus,yes,CDC,
2935,2935,1,Bunyaviridae,NA,Orthobunyavirus,shamonda virus,NA,,
2941,2941,1,Bunyaviridae,NA,Orthobunyavirus,shuni virus,NA,,
2952,2952,1,Retroviridae,Spumaretrovirinae,Spumavirus,simian foamy virus,no,,
3016,3016,1,Parvoviridae,Parvovirinae,Erythrovirus,simian parvovirus,NA,,
3018,3018,1,Paramyxoviridae,Paramyxovirinae,Respirovirus,simian virus 0,NA,,
3028,3028,1,Bunyaviridae,NA,Hantavirus,sin nombre virus,no,,
3043,3043,1,Togaviridae,NA,Alphavirus,sindbis virus,no,,
3060,3060,1,Flaviviridae,NA,Flavivirus,st. louis encephalitis virus,no,,
3124,3124,1,Herpesviridae,Alphaherpesvirinae,Varicellovirus,suid herpesvirus,NA,,
3138,3138,1,Bunyaviridae,NA,Orthobunyavirus,tacaiuma virus,no,,
3141,3141,1,Arenaviridae,NA,Arenavirus,tacaribe virus,NA,,
3167,3167,1,Poxviridae,Chordopoxvirinae,Yatapoxvirus,tanapox virus,no,,
3171,3171,1,Flaviviridae,NA,Flavivirus,tembusu virus,no,,
3174,3174,1,Bunyaviridae,NA,Hantavirus,thailand virus,NA,,
3184,3184,1,Bunyaviridae,NA,Nairovirus,thiafora virus,NA,,
3192,3192,1,Orthomyxoviridae,NA,Thogotovirus,thogoto virus,no,,
3200,3200,1,Flaviviridae,NA,Flavivirus,tick borne encephalitis virus,no,,
3209,3209,1,Paramyxoviridae,Paramyxovirinae,Rubulavirus,tioman virus,NA,,
3215,3215,1,Anelloviridae,NA,Anellovirus,torque teno virus,NA,,
3228,3228,1,Bunyaviridae,NA,Unassigned,trubanaman virus,NA,,
3238,3238,1,Bunyaviridae,NA,Hantavirus,tula virus,no,,
3253,3253,1,Togaviridae,NA,Alphavirus,una virus,no,,
3257,3257,1,Flaviviridae,NA,Flavivirus,usutu virus,no,,
3259,3259,1,Bunyaviridae,NA,Phlebovirus,uukuniemi virus,no,,
3263,3263,1,Poxviridae,Chordopoxvirinae,Orthopoxvirus,vaccinia virus,NA,,
3274,3274,1,Togaviridae,NA,Alphavirus,venezuelan equine encephalitis virus,no,,
3319,3319,1,Rhabdoviridae,NA,Vesiculovirus,vesicular stomatitis alagoas virus,no,,
3322,3322,1,Rhabdoviridae,NA,Vesiculovirus,vesicular stomatitis indiana virus,NA,,
3381,3381,1,Rhabdoviridae,NA,Vesiculovirus,vesicular stomatitis new jersey virus,NA,,
3416,3416,1,Flaviviridae,NA,Flavivirus,wesselsbron virus,no,,
3428,3428,1,Flaviviridae,NA,Flavivirus,west nile virus,no,,
3453,3453,1,Togaviridae,NA,Alphavirus,western equine encephalitis virus,no,,
3468,3468,1,Arenaviridae,NA,Arenavirus,whitewater arroyo virus,NA,,
3498,3498,1,Retroviridae,Orthoretrovirinae,Gammaretrovirus,woolly monkey sarcoma virus,NA,,
3500,3500,1,Bunyaviridae,NA,Orthobunyavirus,wyeomyia virus,NA,,
3502,3502,1,Poxviridae,Chordopoxvirinae,Yatapoxvirus,yaba monkey tumor virus,no,,
3510,3510,1,Flaviviridae,NA,Flavivirus,yellow fever virus,yes,,
3561,3561,1,Filoviridae,NA,Ebolavirus,zaire ebolavirus,NA,,
3575,3575,1,Flaviviridae,NA,Flavivirus,zika virus,yes,,
