"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","species","pcr_samps","sero_samps","filo_samps","hnv_samps","total_samps","surveyed","region","tree_species","filo_surv","hnv_surv","both_surv"
"44","miniopterus inflatus","Miniopterus inflatus",FALSE,"306577",FALSE,"","1","miniopterus inflatus",3,1,4,NA,4,1,"Africa","Miniopterus_inflatus",1,0,0
"45","miniopterus magnater","Miniopterus magnater",FALSE,"829941",FALSE,"","1","miniopterus magnater",1,NA,1,NA,1,1,"Oceania","Miniopterus_magnater",1,0,0
"46","miniopterus pusillus","Miniopterus pusillus",FALSE,"61867",FALSE,"","1","miniopterus pusillus",1,NA,1,NA,1,1,"Asia","Miniopterus_pusillus",1,0,0
"48","miniopterus tristis","Miniopterus tristis",FALSE,"306583",FALSE,"","1","miniopterus tristis",NA,1,1,NA,1,1,"Oceania","Miniopterus_tristis",1,0,0
"49","murina cyclotis","Murina cyclotis",FALSE,"176327",FALSE,"","1","murina cyclotis",NA,1,NA,1,1,1,"Asia","Murina_cyclotis",0,1,0
"50","myonycteris angolensis","Myonycteris angolensis",FALSE,"687492",FALSE,"","1","myonycteris angolensis",1,1,2,NA,2,1,"Africa","Myonycteris_angolensis",1,0,0
"51","myonycteris torquata","Myonycteris torquata",FALSE,"192012",FALSE,"","1","myonycteris torquata",1,8,9,NA,9,1,"Africa","Myonycteris_torquata",1,0,0
"52","myotis altarium","Myotis altarium",FALSE,"379806",FALSE,"","1","myotis altarium",NA,1,NA,1,1,1,"Asia","Myotis_altarium",0,1,0
"53","myotis chinensis","Myotis chinensis",FALSE,"535369",FALSE,"","1","myotis chinensis",NA,1,1,NA,1,1,"Asia","Myotis_chinensis",1,0,0
"54","myotis daubentonii","Myotis daubentonii",FALSE,"407052",FALSE,"","1","myotis daubentonii",NA,4,1,3,4,1,"Europe","Myotis_daubentonii",1,1,1
"55","myotis davidii","Myotis davidii",FALSE,"849319",FALSE,"","1","myotis davidii",NA,1,1,NA,1,1,"Asia","Myotis_davidii",1,0,0
"56","myotis fimbriatus","Myotis fimbriatus",FALSE,"885003",FALSE,"","1","myotis fimbriatus",NA,1,1,NA,1,1,"Asia","Myotis_fimbriatus",1,0,0
"57","myotis horsfieldii","Myotis horsfieldii",FALSE,"249359",FALSE,"","1","myotis horsfieldii",1,NA,1,NA,1,1,"Asia","Myotis_horsfieldii",1,0,0
"58","myotis macrotarsus","Myotis macrotarsus",FALSE,"353886",FALSE,"","1","myotis macrotarsus",NA,1,1,NA,1,1,"Asia","Myotis_macrotarsus",1,0,0
"59","myotis muricola","Myotis muricola",FALSE,"878677",FALSE,"","1","myotis muricola",1,NA,1,NA,1,1,"Asia","Myotis_muricola",1,0,0
"60","myotis ricketti","Myotis ricketti",FALSE,"31968",FALSE,"","1","myotis ricketti",NA,4,1,3,4,1,"Asia","Myotis_ricketti",1,1,1
"61","nanonycteris veldkampii","Nanonycteris veldkampii",FALSE,"553120",FALSE,"","1","nanonycteris veldkampii",NA,2,1,1,2,1,"Africa","Nanonycteris_veldkampii",1,1,1
"62","nyctalus velutinus","Nyctalus velutinus",FALSE,"434672",FALSE,"","1","nyctalus velutinus",NA,1,NA,1,1,1,"Asia","Nyctalus_velutinus",0,1,0
"63","nycteris hispida","Nycteris hispida",FALSE,"539628",FALSE,"","1","nycteris hispida",1,1,2,NA,2,1,"Africa","Nycteris_hispida",1,0,0
"64","pipistrellus javanicus","Pipistrellus javanicus",FALSE,"826863",FALSE,"SIBLING_HIGHER","1","pipistrellus javanicus",NA,1,1,NA,1,1,"Asia","Pipistrellus_javanicus",1,0,0
"65","pipistrellus pipistrellus","Pipistrellus pipistrellus",FALSE,"867410",FALSE,"SIBLING_HIGHER","1","pipistrellus pipistrellus",NA,2,1,1,2,1,"Europe","Pipistrellus_pipistrellus",1,1,1
"66","platyrrhinus lineatus","Platyrrhinus lineatus",FALSE,"780066",FALSE,"","1","platyrrhinus lineatus",NA,1,NA,1,1,1,"LA","Platyrrhinus_lineatus",0,1,0
"67","ptenochirus jagori","Ptenochirus jagori",FALSE,"448931",FALSE,"","1","ptenochirus jagori",NA,1,1,NA,1,1,"Asia","Ptenochirus_jagori",1,0,0
"68","pteropus conspicillatus","Pteropus conspicillatus",FALSE,"67622",FALSE,"","1","pteropus conspicillatus",NA,7,NA,7,7,1,"Australia","Pteropus_conspicillatus",0,1,0
"69","pteropus giganteus","Pteropus giganteus",FALSE,"588290",FALSE,"","1","pteropus giganteus",2,9,2,9,11,1,"Asia","Pteropus_giganteus",1,1,1
"70","pteropus hypomelanus","Pteropus hypomelanus",FALSE,"813040",FALSE,"","1","pteropus hypomelanus",NA,25,NA,25,25,1,"Asia","Pteropus_hypomelanus",0,1,0
"71","pteropus lylei","Pteropus lylei",FALSE,"630309",FALSE,"","1","pteropus lylei",61,4,1,64,65,1,"Asia","Pteropus_lylei",1,1,1
"72","pteropus rufus","Pteropus rufus",FALSE,"423030",FALSE,"","1","pteropus rufus",NA,1,NA,1,1,1,"Africa","Pteropus_rufus",0,1,0
"73","pteropus scapulatus","Pteropus scapulatus",FALSE,"395328",FALSE,"","1","pteropus scapulatus",NA,5,NA,5,5,1,"Australia","Pteropus_scapulatus",0,1,0
"74","pteropus vampyrus","Pteropus vampyrus",FALSE,"448935",FALSE,"","1","pteropus vampyrus",3,22,NA,25,25,1,"Asia","Pteropus_vampyrus",0,1,0
"75","pygoderma bilabiatum","Pygoderma bilabiatum",FALSE,"894971",FALSE,"","1","pygoderma bilabiatum",NA,1,NA,1,1,1,"LA","Pygoderma_bilabiatum",0,1,0
"76","rhinolophus acuminatus","Rhinolophus acuminatus",FALSE,"1094798",FALSE,"","1","rhinolophus acuminatus",NA,1,NA,1,1,1,"Asia","Rhinolophus_acuminatus",0,1,0
"77","rhinolophus affinis","Rhinolophus affinis",FALSE,"867408",FALSE,"","1","rhinolophus affinis",NA,7,1,6,7,1,"Asia","Rhinolophus_affinis",1,1,1
"78","rhinolophus arcuatus","Rhinolophus arcuatus",FALSE,"1052593",FALSE,"","1","rhinolophus arcuatus",NA,1,1,NA,1,1,"Asia","Rhinolophus_arcuatus",1,0,0
"79","rhinolophus coelophyllus","Rhinolophus coelophyllus",FALSE,"180053",FALSE,"","1","rhinolophus coelophyllus",1,NA,1,NA,1,1,"Asia","Rhinolophus_coelophyllus",1,0,0
"80","rhinolophus eloquens","Rhinolophus eloquens",FALSE,"766060",FALSE,"","1","rhinolophus eloquens",1,1,2,NA,2,1,"Africa","Rhinolophus_eloquens",1,0,0
"81","rhinolophus ferrumequinum","Rhinolophus ferrumequinum",FALSE,"867388",FALSE,"","1","rhinolophus ferrumequinum",NA,2,1,1,2,1,"Europe","Rhinolophus_ferrumequinum",1,1,1
"82","rhinolophus lepidus","Rhinolophus lepidus",FALSE,"217411",FALSE,"","1","rhinolophus lepidus",NA,1,NA,1,1,1,"Asia","Rhinolophus_lepidus",0,1,0
"83","rhinolophus luctus","Rhinolophus luctus",FALSE,"662128",FALSE,"","1","rhinolophus luctus",1,4,1,4,5,1,"Asia","Rhinolophus_luctus",1,1,1
"84","rhinolophus macrotis","Rhinolophus macrotis",FALSE,"665410",FALSE,"","1","rhinolophus macrotis",NA,1,NA,1,1,1,"Asia","Rhinolophus_macrotis",0,1,0
"85","rhinolophus malayanus","Rhinolophus malayanus",FALSE,"156758",FALSE,"","1","rhinolophus malayanus",1,NA,1,NA,1,1,"Asia","Rhinolophus_malayanus",1,0,0
"86","rhinolophus microglobosus","Rhinolophus microglobosus",FALSE,"6146485",FALSE,"","1","rhinolophus microglobosus",1,NA,1,NA,1,1,"Asia","Rhinolophus_microglobosus",1,0,0
"87","rhinolophus pearsonii","Rhinolophus pearsonii",FALSE,"217409",FALSE,"","1","rhinolophus pearsonii",NA,3,1,2,3,1,"Asia","Rhinolophus_pearsonii",1,1,1
"88","rhinolophus pusillus","Rhinolophus pusillus",FALSE,"678436",FALSE,"","1","rhinolophus pusillus",1,6,2,5,7,1,"Asia","Rhinolophus_pusillus",1,1,1
"89","rhinolophus rex","Rhinolophus rex",FALSE,"217412",FALSE,"","1","rhinolophus rex",NA,1,NA,1,1,1,"Asia","Rhinolophus_rex",0,1,0
"90","rhinolophus rufus","Rhinolophus rufus",FALSE,"747752",FALSE,"","1","rhinolophus rufus",NA,1,1,NA,1,1,"Asia","Rhinolophus_rufus",1,0,0
"91","rhinolophus shameli","Rhinolophus shameli",FALSE,"155030",FALSE,"","1","rhinolophus shameli",1,NA,1,NA,1,1,"Asia","Rhinolophus_shameli",1,0,0
"92","rhinolophus sinicus","Rhinolophus sinicus",FALSE,"1047995",FALSE,"","1","rhinolophus sinicus",NA,8,1,7,8,1,"Asia","Rhinolophus_sinicus",1,1,1
"93","rousettus aegyptiacus","Rousettus aegyptiacus",FALSE,"813034",FALSE,"","1","rousettus aegyptiacus",24,6,30,NA,30,1,"Africa","Rousettus_aegyptiacus",1,0,0
"94","rousettus amplexicaudatus","Rousettus amplexicaudatus",FALSE,"164530",FALSE,"","1","rousettus amplexicaudatus",1,1,2,NA,2,1,"Asia","Rousettus_amplexicaudatus",1,0,0
"95","rousettus leschenaultii","Rousettus leschenaultii",FALSE,"813050",FALSE,"","1","rousettus leschenaultii",NA,8,2,6,8,1,"Asia","Rousettus_leschenaultii",1,1,1
"96","rousettus madagascariensis","Rousettus madagascariensis",FALSE,"37736",FALSE,"","1","rousettus madagascariensis",NA,1,NA,1,1,1,"Africa","Rousettus_madagascariensis",0,1,0
"97","saccolaimus saccolaimus","Saccolaimus saccolaimus",FALSE,"505799",FALSE,"","1","saccolaimus saccolaimus",NA,1,NA,1,1,1,"Asia","Saccolaimus_saccolaimus",0,1,0
"98","scotophilus heathi","Scotophilus heathii",FALSE,"878673",TRUE,"","1","scotophilus heathi",NA,1,NA,1,1,1,"Asia","Scotophilus_heathii",0,1,0
"99","scotophilus kuhlii","Scotophilus kuhlii",FALSE,"76937",FALSE,"","1","scotophilus kuhlii",1,5,3,3,6,1,"LA","Scotophilus_kuhlii",1,1,1
"100","taphozous longimanus","Taphozous longimanus",FALSE,"432535",FALSE,"","1","taphozous longimanus",1,NA,1,NA,1,1,"Asia","Taphozous_longimanus",1,0,0
"101","taphozous melanopogon","Taphozous melanopogon",FALSE,"1011486",FALSE,"","1","taphozous melanopogon",1,2,1,2,3,1,"Asia","Taphozous_melanopogon",1,1,1
"102","taphozous theobaldi","Taphozous theobaldi",FALSE,"3613551",FALSE,"","1","taphozous theobaldi",NA,1,NA,1,1,1,"Asia","Taphozous_theobaldi",0,1,0
"47","acerodon celebensis","Acerodon celebensis",FALSE,"635022",FALSE,"","1","acerodon celebensis",0,0,0,0,0,0,"Asia","Acerodon_celebensis",NA,NA,NA
"510","acerodon humilis","Acerodon humilis",FALSE,"3613521",FALSE,"","1","acerodon humilis",0,0,0,0,0,0,"Asia","Acerodon_humilis",NA,NA,NA
"613","acerodon jubatus","Acerodon jubatus",FALSE,"718815",FALSE,"","1","acerodon jubatus",0,0,0,0,0,0,"Asia","Acerodon_jubatus",NA,NA,NA
"104","acerodon leucotis","Acerodon leucotis",FALSE,"3613520",FALSE,"","1","acerodon leucotis",0,0,0,0,0,0,"Asia","Acerodon_leucotis",NA,NA,NA
"131","acerodon mackloti","Acerodon mackloti",FALSE,"3613523",FALSE,"","1","acerodon mackloti",0,0,0,0,0,0,"Asia","Acerodon_mackloti",NA,NA,NA
"201","aethalops aequalis","Aethalops aequalis",FALSE,"308607",FALSE,"","1","aethalops aequalis",0,0,0,0,0,0,"Asia","Aethalops_aequalis",NA,NA,NA
"211","aethalops alecto","Aethalops alecto",FALSE,"37731",FALSE,"","1","aethalops alecto",0,0,0,0,0,0,"Asia","Aethalops_alecto",NA,NA,NA
"263","alionycteris paucidentata","Alionycteris paucidentata",FALSE,"491371",FALSE,"","1","alionycteris paucidentata",0,0,0,0,0,0,"Asia","Alionycteris_paucidentata",NA,NA,NA
"1339","ametrida centurio","Ametrida centurio",FALSE,"895014",FALSE,"","1","ametrida centurio",0,0,0,0,0,0,"LA","Ametrida_centurio",NA,NA,NA
"1522","amorphochilus schnablii","Amorphochilus schnablii",FALSE,"3614022",FALSE,"","1","amorphochilus schnablii",0,0,0,0,0,0,"LA","Amorphochilus_schnablii",NA,NA,NA
"1127","anoura caudifer","Anoura caudifer",FALSE,"351792",FALSE,"","1","anoura caudifer",0,0,0,0,0,0,"LA","Anoura_caudifer",NA,NA,NA
"1128","anoura cultrata","Anoura cultrata",FALSE,"485774",FALSE,"","1","anoura cultrata",0,0,0,0,0,0,"LA","Anoura_cultrata",NA,NA,NA
"1129","anoura geoffroyi","Anoura geoffroyi",FALSE,"688667",FALSE,"","1","anoura geoffroyi",0,0,0,0,0,0,"LA","Anoura_geoffroyi",NA,NA,NA
"1133","anoura latidens","Anoura latidens",FALSE,"130223",FALSE,"","1","anoura latidens",0,0,0,0,0,0,"LA","Anoura_latidens",NA,NA,NA
"1134","anoura luismanueli","Anoura luismanueli",FALSE,"3613592",FALSE,"","1","anoura luismanueli",0,0,0,0,0,0,"LA","Anoura_luismanueli",NA,NA,NA
"676","anthops ornatus","Anthops ornatus",FALSE,"879094",FALSE,"","1","anthops ornatus",0,0,0,0,0,0,"Oceania","Anthops_ornatus",NA,NA,NA
"2321","antrozous pallidus","Antrozous pallidus",FALSE,"913941",FALSE,"SIBLING_HIGHER","1","antrozous pallidus",0,0,0,0,0,0,"NA","Antrozous_pallidus",NA,NA,NA
"281","aproteles bulmerae","Aproteles bulmerae",FALSE,"635014",FALSE,"","1","aproteles bulmerae",0,0,0,0,0,0,"Oceania","Aproteles_bulmerae",NA,NA,NA
"1341","ardops nichollsi","Ardops nichollsi",FALSE,"894926",FALSE,"","1","ardops nichollsi",0,0,0,0,0,0,"LA","Ardops_nichollsi",NA,NA,NA
"1795","arielulus aureocollaris","Arielulus aureocollaris",FALSE,"180056",FALSE,"","1","arielulus aureocollaris",0,0,0,0,0,0,"Asia","Arielulus_aureocollaris",NA,NA,NA
"1796","arielulus circumdatus","Arielulus circumdatus",FALSE,"1072700",FALSE,"","1","arielulus circumdatus",0,0,0,0,0,0,"Asia","Arielulus_circumdatus",NA,NA,NA
"1797","arielulus cuprosus","Arielulus cuprosus",FALSE,"505791",FALSE,"","1","arielulus cuprosus",0,0,0,0,0,0,"Asia","Arielulus_cuprosus",NA,NA,NA
"1798","arielulus societatis","Arielulus societatis",FALSE,"3613872",FALSE,"","1","arielulus societatis",0,0,0,0,0,0,"Asia","Arielulus_societatis",NA,NA,NA
"1799","arielulus torquatus","Arielulus torquatus",FALSE,"3613896",FALSE,"","1","arielulus torquatus",0,0,0,0,0,0,"Asia","Arielulus_torquatus",NA,NA,NA
"1348","ariteus flavescens","Ariteus flavescens",FALSE,"842058",FALSE,"","1","ariteus flavescens",0,0,0,0,0,0,"LA","Ariteus_flavescens",NA,NA,NA
"1353","artibeus amplus","Artibeus amplus",FALSE,"900091",FALSE,"SIBLING_HIGHER","1","artibeus amplus",0,0,0,0,0,0,"LA","Artibeus_amplus",NA,NA,NA
"1354","artibeus anderseni","Artibeus anderseni",FALSE,"805983",FALSE,"SIBLING_HIGHER","1","artibeus anderseni",0,0,0,0,0,0,"LA","Artibeus_anderseni",NA,NA,NA
"1355","artibeus aztecus","Artibeus aztecus",FALSE,"1039987",FALSE,"SIBLING_HIGHER","1","artibeus aztecus",0,0,0,0,0,0,"LA","Artibeus_aztecus",NA,NA,NA
"1359","artibeus cinereus","Artibeus cinereus",FALSE,"513419",FALSE,"SIBLING_HIGHER","1","artibeus cinereus",0,0,0,0,0,0,"LA","Artibeus_cinereus",NA,NA,NA
"1360","artibeus concolor","Artibeus concolor",FALSE,"513416",FALSE,"SIBLING_HIGHER","1","artibeus concolor",0,0,0,0,0,0,"LA","Artibeus_concolor",NA,NA,NA
"1361","artibeus fimbriatus","Artibeus fimbriatus",FALSE,"805974",FALSE,"SIBLING_HIGHER","1","artibeus fimbriatus",0,0,0,0,0,0,"LA","Artibeus_fimbriatus",NA,NA,NA
"1362","artibeus fraterculus","Artibeus fraterculus",FALSE,"805976",FALSE,"SIBLING_HIGHER","1","artibeus fraterculus",0,0,0,0,0,0,"LA","Artibeus_fraterculus",NA,NA,NA
"1364","artibeus gnomus","Artibeus glaucus gnomus",FALSE,"513423",TRUE,"INFRASPECIFIC","1","artibeus gnomus",0,0,0,0,0,0,"LA","Artibeus_glaucus_gnomus",NA,NA,NA
"1365","artibeus hirsutus","Artibeus hirsutus",FALSE,"805978",FALSE,"SIBLING_HIGHER","1","artibeus hirsutus",0,0,0,0,0,0,"LA","Artibeus_hirsutus",NA,NA,NA
"1366","artibeus incomitatus","Dermanura incomitata",FALSE,"658640",TRUE,"","1","artibeus incomitatus",0,0,0,0,0,0,"LA","Dermanura_incomitata",NA,NA,NA
"1367","artibeus inopinatus","Artibeus inopinatus",FALSE,"431860",FALSE,"SIBLING_HIGHER","1","artibeus inopinatus",0,0,0,0,0,0,"LA","Artibeus_inopinatus",NA,NA,NA
"1368","artibeus jamaicensis","Artibeus jamaicensis",FALSE,"289157",FALSE,"SIBLING_HIGHER","1","artibeus jamaicensis",0,0,0,0,0,0,"LA","Artibeus_jamaicensis",NA,NA,NA
"1386","artibeus obscurus","Artibeus obscurus",FALSE,"513451",FALSE,"SIBLING_HIGHER","1","artibeus obscurus",0,0,0,0,0,0,"LA","Artibeus_obscurus",NA,NA,NA
"1387","artibeus phaeotis","Artibeus phaeotis",FALSE,"513447",FALSE,"SIBLING_HIGHER","1","artibeus phaeotis",0,0,0,0,0,0,"LA","Artibeus_phaeotis",NA,NA,NA
"1392","artibeus toltecus","Artibeus toltecus",FALSE,"362821",FALSE,"SIBLING_HIGHER","1","artibeus toltecus",0,0,0,0,0,0,"LA","Artibeus_toltecus",NA,NA,NA
"1395","artibeus watsoni","Artibeus glaucus watsoni",FALSE,"805986",TRUE,"INFRASPECIFIC","1","artibeus watsoni",0,0,0,0,0,0,"LA","Artibeus_glaucus_watsoni",NA,NA,NA
"678","asellia patrizii","Asellia patrizii",FALSE,"3614051",FALSE,"","1","asellia patrizii",0,0,0,0,0,0,"Africa","Asellia_patrizii",NA,NA,NA
"679","asellia tridens","Asellia tridens",FALSE,"992342",FALSE,"","1","asellia tridens",0,0,0,0,0,0,"Africa","Asellia_tridens",NA,NA,NA
"685","aselliscus stoliczkanus","Aselliscus stoliczkanus",FALSE,"791905",FALSE,"","1","aselliscus stoliczkanus",0,0,0,0,0,0,"Asia","Aselliscus_stoliczkanus",NA,NA,NA
"686","aselliscus tricuspidatus","Aselliscus tricuspidatus",FALSE,"742153",FALSE,"","1","aselliscus tricuspidatus",0,0,0,0,0,0,"Asia","Aselliscus_tricuspidatus",NA,NA,NA
"967","balantiopteryx infusca","Balantiopteryx infusca",FALSE,"432529",FALSE,"","1","balantiopteryx infusca",0,0,0,0,0,0,"LA","Balantiopteryx_infusca",NA,NA,NA
"968","balantiopteryx io","Balantiopteryx io",FALSE,"432520",FALSE,"","1","balantiopteryx io",0,0,0,0,0,0,"LA","Balantiopteryx_io",NA,NA,NA
"969","balantiopteryx plicata","Balantiopteryx plicata",FALSE,"75168",FALSE,"","1","balantiopteryx plicata",0,0,0,0,0,0,"LA","Balantiopteryx_plicata",NA,NA,NA
"2130","barbastella barbastellus","Barbastella barbastellus",FALSE,"647747",FALSE,"","1","barbastella barbastellus",0,0,0,0,0,0,"Europe","Barbastella_barbastellus",NA,NA,NA
"2133","barbastella leucomelas","Barbastella leucomelas",FALSE,"1011492",FALSE,"","1","barbastella leucomelas",0,0,0,0,0,0,"Africa","Barbastella_leucomelas",NA,NA,NA
"2330","bauerus dubiaquercus","Antrozous dubiaquercus",FALSE,"127235",TRUE,"SIBLING_HIGHER","1","bauerus dubiaquercus",0,0,0,0,0,0,"LA","Antrozous_dubiaquercus",NA,NA,NA
"1101","brachyphylla cavernarum","Brachyphylla cavernarum",FALSE,"456526",FALSE,"","1","brachyphylla cavernarum",0,0,0,0,0,0,"LA","Brachyphylla_cavernarum",NA,NA,NA
