"","species","filo_samps","hnv_samps","total_samps","filo_positive","hnv_positive","positive","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","surveyed","region","tree_species","filo_surv","hnv_surv","both_surv"
"487","mops brachypterus",0,0,0,NA,NA,NA,"mops brachypterus","Mops_brachypterus",FALSE,"3613976",FALSE,"","1",0,"Africa","Mops_brachypterus",NA,NA,NA
"490","mops demonstrator",0,0,0,NA,NA,NA,"mops demonstrator","Mops_demonstrator",FALSE,"3613977",FALSE,"","1",0,"Africa","Mops_demonstrator",NA,NA,NA
"491","mops leucostigma",0,0,0,NA,NA,NA,"mops leucostigma","Mops_leucostigma",FALSE,"956751",FALSE,"","1",0,"Africa","Mops_leucostigma",NA,NA,NA
"492","mops midas",0,0,0,NA,NA,NA,"mops midas","Mops_midas",FALSE,"956753",FALSE,"","1",0,"Africa","Mops_midas",NA,NA,NA
"493","mops mops",0,0,0,NA,NA,NA,"mops mops","Mops_mops",FALSE,"598195",FALSE,"","1",0,"Asia","Mops_mops",NA,NA,NA
"495","mops niangarae",0,0,0,NA,NA,NA,"mops niangarae","Mops_niangarae",FALSE,"3613981",FALSE,"","1",0,"Africa","Mops_niangarae",NA,NA,NA
"497","mops petersoni",0,0,0,NA,NA,NA,"mops petersoni","Mops_petersoni",FALSE,"3613946",FALSE,"","1",0,"Africa","Mops_petersoni",NA,NA,NA
"498","mops sarasinorum",0,0,0,NA,NA,NA,"mops sarasinorum","Mops_sarasinorum",FALSE,"3613980",FALSE,"","1",0,"Asia","Mops_sarasinorum",NA,NA,NA
"499","mops spurrelli",0,0,0,NA,NA,NA,"mops spurrelli","Mops_spurrelli",FALSE,"3613984",FALSE,"","1",0,"Africa","Mops_spurrelli",NA,NA,NA
"501","mops trevori",0,0,0,NA,NA,NA,"mops trevori","Mops_trevori",FALSE,"3613982",FALSE,"","1",0,"Africa","Mops_trevori",NA,NA,NA
"502","mormoops blainvillei",0,0,0,NA,NA,NA,"mormoops blainvillei","Mormoops_blainvillei",FALSE,"554248",FALSE,"","1",0,"LA","Mormoops_blainvillei",NA,NA,NA
"503","mormoops magna",0,0,0,NA,NA,NA,"mormoops magna","Mormoops_magna",FALSE,"3614026",FALSE,"","1",0,"LA","Mormoops_magna",NA,NA,NA
"504","mormoops megalophylla",0,0,0,NA,NA,NA,"mormoops megalophylla","Mormoops_megalophylla",FALSE,"342713",FALSE,"","1",0,"LA","Mormoops_megalophylla",NA,NA,NA
"505","mormopterus acetabulosus",0,0,0,NA,NA,NA,"mormopterus acetabulosus","Mormopterus_acetabulosus",FALSE,"131230",FALSE,"","1",0,"Africa","Mormopterus_acetabulosus",NA,NA,NA
"506","mormopterus beccarii",0,0,0,NA,NA,NA,"mormopterus beccarii","Mormopterus_beccarii",FALSE,"1066068",FALSE,"","1",0,"Asia","Mormopterus_beccarii",NA,NA,NA
"507","mormopterus doriae",0,0,0,NA,NA,NA,"mormopterus doriae","Mormopterus_doriae",FALSE,"3613995",FALSE,"","1",0,"Asia","Mormopterus_doriae",NA,NA,NA
"508","mormopterus jugularis",0,0,0,NA,NA,NA,"mormopterus jugularis","Mormopterus_jugularis",FALSE,"435177",FALSE,"","1",0,"Africa","Mormopterus_jugularis",NA,NA,NA
"509","mormopterus kalinowskii",0,0,0,NA,NA,NA,"mormopterus kalinowskii","Mormopterus_kalinowskii",FALSE,"301610",FALSE,"","1",0,"LA","Mormopterus_kalinowskii",NA,NA,NA
"510","mormopterus loriae",0,0,0,NA,NA,NA,"mormopterus loriae","Mormopterus_loriae",FALSE,"3613996",FALSE,"","1",0,"Oceania","Mormopterus_loriae",NA,NA,NA
"511","mormopterus minutus",0,0,0,NA,NA,NA,"mormopterus minutus","Mormopterus_minutus",FALSE,"3613994",FALSE,"","1",0,"LA","Mormopterus_minutus",NA,NA,NA
